"模块","对象","现有实现代码(摘要)","现有代码位置","升级版实现代码(建议)","新增参数/配置","验收指标"
"候选池","Step1 强势截断","step1_pool = sort(ret40 desc)[:top_n]","backend/app/store.py:4148","step1_pool = rank(strength_40_60, structure_ok); keep strong not hottest","strength_window_days, strength_rank_pct","Top1-50/51-100/101-200胜率分层更均衡"
"候选池","Step2 结构过滤","retrace20 in [0.05,0.25] && ma10>ma20 days && ma5>ma10 days","backend/app/store.py:4172","add stability gate: slope_std, pullback_recover_ma20, price_vs_ma20_band","slope_std_max, pullback_recover_days","最大连亏下降"
"候选池","Step3 健康过滤","vol_slope20>=0.05 && up_down_volume_ratio>=1.3 && !blowoff && !divergence && !upper_shadow","backend/app/store.py:4185","split strong vs overheat; overheat score penalty first, hard reject only when multi-risk","overheat_penalty, overheat_hard_reject_rules","UTAD出场占比下降"
"维科夫事件","PS","tr_pos<=0.42 && vol_ratio20>=1.08 && close<=MA*1.02","backend/app/core/signal_analyzer.py:326","PS_score = bg_downtrend + low_zone + vol_expand + followup_SC_confirm","ps_bg_min, ps_confirm_window","PS后SC联动率上升"
"维科夫事件","SC","close near low && tr_pos<=0.55 && vol_ratio20>=1.05","backend/app/core/signal_analyzer.py:320","SC_score = climax_volume + low_zone + weak_close + rebound_potential","sc_vol_ratio_min, sc_rebound_min","SC后AR有效反弹率上升"
"维科夫事件","AR","after SC rebound_max >= close_sc*1.05","backend/app/core/signal_analyzer.py:334","AR_score = rebound_strength + zone_reentry + followup_ST","ar_rebound_min, ar_window","AR后ST回测成功率上升"
"维科夫事件","ST","near SC low (<=4%) && volume<=SC*0.85","backend/app/core/signal_analyzer.py:343","ST_score = support_hold + volume_shrink + failed_breakdown","st_low_tolerance, st_vol_ratio_max","ST后SOS触发质量提升"
"维科夫事件","TSO","low<prior_low*0.99 && close>prior_low && vol_ratio>=1.0","backend/app/core/signal_analyzer.py:369","TSO_score = false_break_quality + reclaim_strength + quick_recovery","tso_reclaim_bars","TSO噪声触发减少"
"维科夫事件","Spring","low<prior_low*0.985 && close>prior_low && vol_ratio>=1.15","backend/app/core/signal_analyzer.py:359","Spring_score = spring_depth + close_reclaim + next_day_no_break","spring_depth_min, spring_confirm_bars","Spring次日失效率下降"
"维科夫事件","SOS","close>MA*1.01 && ret10>0.05 && vol_ratio>=1.05","backend/app/core/signal_analyzer.py:395","SOS_score = background_ok + breakout_at_resistance + vol_expand + confirm(1~3d hold)","sos_confirm_days, sos_hold_bars","假突破入场显著减少"
"维科夫事件","JOC","close>=prior_high20*1.005 && vol_ratio>=1.2","backend/app/core/signal_analyzer.py:410","JOC_score = jump_quality + breakout_extension + no_fast_fail_confirm","joc_fail_back_bars","JOC回落打脸率下降"
"维科夫事件","LPS","close>MA*0.995 && volume<=prev5avg*0.95","backend/app/core/signal_analyzer.py:422","LPS_score = post_SOS_context + pullback_shrink + bullish_reversal_confirm","lps_confirm_kline, lps_window","LPS胜率提升"
"维科夫事件","PSY","tr_pos>=0.62 && vol_ratio20>=1.05 && close>=MA*0.98","backend/app/core/signal_analyzer.py:467","PSY_risk = uptrend_late + effort_result_divergence + weak_followup","psy_risk_threshold","高位风险提前提示率上升"
